candidate_id,source_sample_index,anchor_face_index,anchor_position_object_m,closure_status,contact_face_indices,contact_positions_object_m,fast_filter,fast_reasons,sampled_hand_table_clearance_m,sampled_hand_table_clearance_link,sampled_hand_table_clearance_stage,unresolved_checks,task_status,worst_task_margin,lower_tail_mean_margin,required_peak_normal_force_n,maximum_joint_load_utilization,maximum_generalized_joint_torque_nm,wrist_load_utilization,sensitivity,task_failure_reason,nominal_balance_infeasible_count,evidence
candidate_10,123,33167,0.000247848398 0.0177180694 -0.02838562,CLOSURE_REJECT,,,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_19682,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
candidate_11,251,33163,-0.001856103 0.0176216774 -0.029178549,CLOSURE_SURVIVE,33128 33096 20921,-0.0175705599 -0.00235970026 -0.028958332 | -0.000737857159 -0.017696063 -0.0296923165 | 0.0201282236 0.0124413238 -0.01903387,FAST_SURVIVE,,0.005717163675301062,f2Link2,PREGRASP,UNRESOLVED_UNTIL_PUBLIC_LEGACY_FORWARDER | UNRESOLVED_UNTIL_TOP3_LEGACY_EXACT | HAND_TABLE_SAMPLED_NOT_CONTINUOUS | ARM_LINK_AND_JOINT_INTERPOLATED_PATH_NOT_FAST_CHECKED,TASK_REJECT,0.0,0.0907223472916286,,,,,0.7824721556185421,NOMINAL_LOAD_INFEASIBLE_ZERO_IS_RANKING_LOWER_BOUND_NOT_FEASIBILITY,1,OFFLINE_RESEARCH_NOT_FORMAL
candidate_12,75,29087,-0.00310589398 0.0181856251 -0.0266184087,CLOSURE_REJECT,,,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_21559,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
candidate_13,368,19698,-0.00881475614 0.0219599486 -0.0190608539,CLOSURE_REJECT,19653 20975,-0.0232230873 -0.00448922691 -0.0134949943 | 0.00636199701 -0.0227800819 -0.016679551,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_21464,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
candidate_14,283,33316,-0.00784514806 0.0157904766 -0.0305918727,CLOSURE_REJECT,33350 31172,-0.0155925283 -0.0083130297 -0.0303729983 | 0.00471257469 -0.0172675411 -0.026530691,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_20888,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
candidate_15,52,29521,-0.0112364041 0.0146182913 -0.0221978505,CLOSURE_REJECT,19648,-0.0211539679 -0.0105989022 -0.0166319909,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_20987,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
candidate_16,232,21218,-0.0172076477 0.0144028526 -0.0209451228,CLOSURE_REJECT,,,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_21207,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
candidate_17,228,33327,-0.0145749503 0.0100360931 -0.0301373738,CLOSURE_REJECT,33108 33254,-0.00962245012 -0.0148703176 -0.0299171567 | 0.0128940937 -0.0120363366 -0.030546639,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_20905,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
candidate_18,180,28907,-0.0162669247 0.00870061934 -0.0254999447,CLOSURE_REJECT,21248 33213,-0.0171849915 -0.0144255091 -0.0183533741 | 0.0150235707 -0.00938660276 -0.0299530711,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_21325,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
candidate_19,138,19670,-0.0228415233 0.00613434618 -0.0180207757,CLOSURE_REJECT,,,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_21255,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
candidate_20,59,33133,-0.0176273205 0.00172903681 -0.0296434839,CLOSURE_SURVIVE,33097 33265 19698,-0.00122107349 -0.0176743616 -0.0294232668 | 0.0171845154 -0.00427128889 -0.0300629968 | -0.00811593572 0.022214777 -0.0194988048,FAST_SURVIVE,,0.006182098504611266,f2Link2,PREGRASP,UNRESOLVED_UNTIL_PUBLIC_LEGACY_FORWARDER | UNRESOLVED_UNTIL_TOP3_LEGACY_EXACT | HAND_TABLE_SAMPLED_NOT_CONTINUOUS | ARM_LINK_AND_JOINT_INTERPOLATED_PATH_NOT_FAST_CHECKED,TASK_REJECT,0.0,0.07387452271719425,,,,,0.8095963129510455,NOMINAL_LOAD_INFEASIBLE_ZERO_IS_RANKING_LOWER_BOUND_NOT_FEASIBILITY,1,OFFLINE_RESEARCH_NOT_FORMAL
candidate_21,60,21233,-0.0223519993 -0.000700591822 -0.0178233961,CLOSURE_REJECT,21264 20925,-0.00229765406 -0.0223519993 -0.0181970835 | 0.0222390554 0.00804935673 -0.0193412699,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_21116,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
candidate_22,315,33127,-0.0174637811 -0.00295825745 -0.0281372162,CLOSURE_REJECT,,,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_19640,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
candidate_23,218,19649,-0.0223783191 -0.00766745147 -0.0146049816,CLOSURE_REJECT,,,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_21271,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
candidate_24,196,33119,-0.0154917925 -0.00860293087 -0.0286721269,CLOSURE_REJECT,,,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_21267,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
candidate_25,107,31146,-0.0143828165 -0.0106647618 -0.0267436983,CLOSURE_REJECT,,,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_21546,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
candidate_26,68,33115,-0.0136963187 -0.0112427506 -0.029115422,CLOSURE_REJECT,,,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_32084,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
candidate_27,116,28560,-0.0113974481 -0.0144967845 -0.0233197687,CLOSURE_REJECT,,,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_21537,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
candidate_28,186,19626,-0.0124776045 -0.0201073645 -0.0133880547,CLOSURE_REJECT,21280 20917,0.0173307909 -0.0142797097 -0.0137617421 | 0.0128241138 0.0198896617 -0.0180184723,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_19055,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
candidate_29,27,33367,-0.00705864998 -0.0161921154 -0.0303190486,CLOSURE_REJECT,31315 33292,0.014316668 -0.0107528223 -0.0256169554 | 0.00930865147 0.0149547683 -0.0306832008,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_21150,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
candidate_30,212,31549,-0.00530519821 -0.0171062511 -0.0238463907,CLOSURE_REJECT,,,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_21118,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
candidate_31,20,31291,-0.0037476789 -0.0175004108 -0.0258417512,CLOSURE_REJECT,,,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_20958,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
