candidate_id,anchor_face_index,anchor_position_object_m,closure_status,contact_face_indices,contact_positions_object_m,fast_filter,fast_reasons,unresolved_checks,task_status,worst_task_margin,lower_tail_mean_margin,required_peak_normal_force_n,maximum_joint_load_utilization,maximum_generalized_joint_torque_nm,wrist_load_utilization,sensitivity,task_failure_reason,nominal_balance_infeasible_count,evidence
candidate_10,99593,0.0215434375 -0.0105741207 0.00108535363,CLOSURE_REJECT,,,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_98702,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
candidate_11,100337,-0.0211585968 -0.0113003235 0.0216269089,CLOSURE_REJECT,,,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_7652,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
candidate_12,98669,0.0167913197 0.0171384456 0.00549290093,CLOSURE_REJECT,,,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_98895,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
candidate_13,99801,0.0175615218 0.0142067393 0.0302728611,CLOSURE_REJECT,,,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_100015,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
candidate_14,100497,-0.00544818923 -0.0219234528 0.0268922895,CLOSURE_REJECT,,,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_7765,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
candidate_15,99293,-0.0118422654 -0.0208689229 5.33523705e-05,CLOSURE_REJECT,99533 98729,0.0170207768 -0.0169169537 0.00815039285 | 0.0104362927 0.0216058866 0.00293768873,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_99075,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
candidate_16,99532,0.017951768 -0.0159229424 -6.65557141e-05,CLOSURE_REJECT,,,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_98635,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
candidate_17,98752,0.00636226194 0.023136536 0.00733183634,CLOSURE_SURVIVE,100144 99352 98548,-0.0206463179 0.0122223949 0.0154288768 | -0.00350000496 -0.0237340247 0.00200587229 | 0.0235598414 0.00455501391 -0.000354395417,FAST_SURVIVE,,UNRESOLVED_UNTIL_PUBLIC_LEGACY_FORWARDER | UNRESOLVED_UNTIL_TOP3_LEGACY_EXACT | TABLE_AND_ARM_PATH_REQUIRE_CANDIDATE_WORLD_ROUTE,TASK_REJECT,,,,,,,,ONE_OR_MORE_SCENARIOS_CANNOT_BALANCE_NOMINAL_LOAD,1,OFFLINE_RESEARCH_NOT_FORMAL
candidate_18,98849,-0.00470807639 0.0235328072 0.00185683946,CLOSURE_REJECT,,,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_99060,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
candidate_19,99184,-0.0209794733 -0.01163544 0.00247981125,CLOSURE_REJECT,,,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_99429,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
