object,method,pad,witness,point_object_x_m,point_object_y_m,point_object_z_m,object_outward_normal_x,object_outward_normal_y,object_outward_normal_z,object_source_face_index,source,isaac_measured_contact_geometry
Current D38999/26KJ61SN,baseline,1,30,-0.023033617113553735,-0.0064479683168453955,0.010567638755679953,-0.9569400608304213,-0.29028558348266204,0.0,100301,DETERMINISTIC_OFFLINE_RECONSTRUCTION_OF_FROZEN_BASELINE_GRID_POINT,False
Current D38999/26KJ61SN,baseline,1,31,-0.023122837818769254,-0.006209933939215491,0.009901921823816683,-0.9569400608304213,-0.29028558348266204,0.0,100301,DETERMINISTIC_OFFLINE_RECONSTRUCTION_OF_FROZEN_BASELINE_GRID_POINT,False
Current D38999/26KJ61SN,baseline,2,0,0.021137650589600238,-0.011338003714910078,0.014512695412799724,0.8819213444556897,-0.47139658695568504,0.0,100732,DETERMINISTIC_OFFLINE_RECONSTRUCTION_OF_FROZEN_BASELINE_GRID_POINT,False
Current D38999/26KJ61SN,baseline,2,1,0.021137650589600238,-0.011338003714910078,0.014512695412799724,0.8819213444556897,-0.47139658695568504,0.0,100732,DETERMINISTIC_OFFLINE_RECONSTRUCTION_OF_FROZEN_BASELINE_GRID_POINT,False
Current D38999/26KJ61SN,baseline,2,2,0.021137650589600238,-0.011338003714910078,0.014512695412799724,0.8819213444556897,-0.47139658695568504,0.0,100732,DETERMINISTIC_OFFLINE_RECONSTRUCTION_OF_FROZEN_BASELINE_GRID_POINT,False
Current D38999/26KJ61SN,baseline,2,3,0.021137650589600238,-0.011338003714910078,0.014512695412799724,0.8819213444556897,-0.47139658695568504,0.0,100732,DETERMINISTIC_OFFLINE_RECONSTRUCTION_OF_FROZEN_BASELINE_GRID_POINT,False
Current D38999/26KJ61SN,baseline,2,4,0.021137650589600238,-0.011338003714910078,0.014512695412799724,0.8819213444556897,-0.47139658695568504,0.0,100732,DETERMINISTIC_OFFLINE_RECONSTRUCTION_OF_FROZEN_BASELINE_GRID_POINT,False
Current D38999/26KJ61SN,baseline,2,5,0.021137650589600238,-0.011338003714910078,0.014512695412799724,0.8819213444556897,-0.47139658695568504,0.0,100732,DETERMINISTIC_OFFLINE_RECONSTRUCTION_OF_FROZEN_BASELINE_GRID_POINT,False
Current D38999/26KJ61SN,baseline,2,6,0.02038765854192528,-0.012637046411819605,0.014512689902992086,0.849201950282717,-0.5280682225205657,0.0,100720,DETERMINISTIC_OFFLINE_RECONSTRUCTION_OF_FROZEN_BASELINE_GRID_POINT,False
Current D38999/26KJ61SN,baseline,2,7,0.02038765854192528,-0.012637046411819605,0.014512689902992086,0.849201950282717,-0.5280682225205657,0.0,100720,DETERMINISTIC_OFFLINE_RECONSTRUCTION_OF_FROZEN_BASELINE_GRID_POINT,False
